Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1641,0,7.62E-06,0.000140009,0.000166944,0.000100008,0.000116083,,0.287767936,1.118969505,0.00000388,3.67E-61,2.57E-64
1642,0,7.59E-06,0.000139638,0.000166512,9.97E-05,0.00011577,,0.287428114,1.117865852,0.00000387,3.35E-61,2.57E-64
1643,0,7.57E-06,0.000139269,0.00016608,9.95E-05,0.000115459,,0.2870889,1.116763959,0.00000385,3.06E-61,2.57E-64
1644,0,7.54E-06,0.0001389,0.00016565,0.000099193,0.000115149,,0.286750292,1.115663822,0.00000383,2.80E-61,2.57E-64
1645,0,0.000007515,0.000138533,0.000165222,9.89E-05,0.00011484,,0.28641229,1.114565436,0.00000382,2.56E-61,2.57E-64
1646,0,7.49E-06,0.000138167,0.000164794,0.000098654,0.000114531,,0.286074891,1.113468799,0.0000038,2.34E-61,2.57E-64
1647,0,0.000007465,0.000137802,0.000164368,9.84E-05,0.000114224,,0.285738093,1.112373905,0.00000379,2.14E-61,2.57E-64
1648,0,7.44E-06,0.000137439,0.000163944,9.81E-05,0.000113918,,0.285401897,1.111280752,0.00000377,1.95E-61,2.57E-64
1649,0,7.42E-06,0.000137077,0.000163521,9.79E-05,0.000113613,,0.285066299,1.110189335,0.00000375,1.78E-61,2.57E-64
1650,0,7.39E-06,0.000136715,0.000163099,9.76E-05,0.000113308,,0.2847313,1.109099651,0.00000374,1.63E-61,2.57E-64
1651,0,7.37E-06,0.000136355,0.000162678,9.73E-05,0.000113005,,0.284396896,1.108011695,0.00000372,1.49E-61,2.57E-64
1652,0,7.34E-06,0.000135996,0.000162259,9.71E-05,0.000112703,,0.284063087,1.106925465,0.00000371,1.36E-61,2.57E-64
1653,0,7.32E-06,0.000135639,0.000161841,9.68E-05,0.000112402,,0.283729872,1.105840955,0.00000369,1.24E-61,2.57E-64
1654,0,7.29E-06,0.000135282,0.000161425,9.65E-05,0.000112101,,0.283397249,1.104758163,0.00000368,1.14E-61,2.57E-64
1655,0,7.27E-06,0.000134927,0.00016101,9.63E-05,0.000111802,,0.283065217,1.103677085,0.00000366,1.04E-61,2.57E-64
1656,0,7.24E-06,0.000134572,0.000160596,0.000096012,0.000111504,,0.282733774,1.102597717,0.00000365,9.49E-62,2.57E-64
1657,0,7.22E-06,0.000134219,0.000160183,9.58E-05,0.000111207,,0.282402918,1.101520055,0.00000363,8.67E-62,2.57E-64
1658,0,7.20E-06,0.000133867,0.000159772,9.55E-05,0.00011091,,0.282072649,1.100444096,0.00000362,7.92E-62,2.57E-64
1659,0,7.17E-06,0.000133516,0.000159362,9.52E-05,0.000110615,,0.281742965,1.099369835,0.0000036,7.24E-62,2.57E-64
1660,0,7.15E-06,0.000133167,0.000158953,9.50E-05,0.00011032,,0.281413865,1.09829727,0.00000359,6.61E-62,2.57E-64
1661,0,7.13E-06,0.000132818,0.000158546,9.47E-05,0.000110027,,0.281085347,1.097226396,0.00000357,6.04E-62,2.57E-64
1662,0,7.10E-06,0.000132471,0.00015814,9.45E-05,0.000109734,,0.28075741,1.096157209,0.00000356,5.52E-62,2.57E-64
1663,0,7.08E-06,0.000132124,0.000157735,9.42E-05,0.000109443,,0.280430052,1.095089707,0.00000354,5.04E-62,2.57E-64
1664,0,7.06E-06,0.000131779,0.000157332,9.40E-05,0.000109152,,0.280103273,1.094023885,0.00000353,4.61E-62,2.57E-64
1665,0,7.03E-06,0.000131435,0.000156929,9.37E-05,0.000108863,,0.27977707,1.09295974,0.00000351,4.21E-62,2.57E-64
1666,0,7.01E-06,0.000131092,0.000156528,9.35E-05,0.000108574,,0.279451443,1.091897268,0.0000035,3.85E-62,2.57E-64
1667,0,0.000006986,0.00013075,0.000156129,9.32E-05,0.000108286,,0.279126389,1.090836465,0.00000348,3.52E-62,2.57E-64
1668,0,0.000006963,0.000130409,0.00015573,9.30E-05,0.000107999,,0.278801909,1.089777328,0.00000347,3.21E-62,2.57E-64
1669,0,6.94E-06,0.000130069,0.000155333,9.27E-05,0.000107713,,0.278477999,1.088719853,0.00000345,2.94E-62,2.57E-64
1670,0,6.92E-06,0.00012973,0.000154937,9.25E-05,0.000107428,,0.27815466,1.087664037,0.00000344,2.68E-62,2.57E-64
1671,0,6.89E-06,0.000129393,0.000154542,0.000092209,0.000107144,,0.27783189,1.086609876,0.00000343,2.45E-62,2.57E-64
1672,0,0.000006872,0.000129056,0.000154149,9.20E-05,0.000106861,,0.277509686,1.085557367,0.00000341,2.24E-62,2.57E-64
1673,0,6.85E-06,0.000128721,0.000153756,0.000091716,0.000106579,,0.277188049,1.084506505,0.0000034,2.05E-62,2.57E-64
1674,0,0.000006827,0.000128386,0.000153365,9.15E-05,0.000106297,,0.276866976,1.083457288,0.00000338,1.87E-62,2.57E-64
