Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
219,0,0.020785693,0.063627418,0.066123274,0.055995888,0.056478827,,0.715372882,1.594597728,0.024966332,0.00000052,4.23E-09
220,0,0.020335227,0.062546287,0.065013427,0.055014067,0.055493979,,0.708969057,1.58277259,0.02441398,0.000000472,3.74E-09
221,0,0.019896304,0.061488063,0.063926899,0.054053557,0.054530422,,0.702651211,1.571088179,0.023875767,0.000000428,3.30E-09
222,0,0.019468581,0.060452166,0.062863102,0.053113805,0.053587606,,0.696417808,1.559542194,0.023351279,0.000000388,2.91E-09
223,0,0.019051731,0.059438033,0.061821465,0.052194278,0.052665001,,0.690267347,1.548132382,0.022840119,0.000000352,2.57E-09
224,0,0.018645433,0.058445116,0.060801435,0.051294458,0.051762089,,0.68419836,1.536856539,0.022341901,0.00000032,2.27E-09
225,0,0.01824938,0.057472884,0.059802474,0.050413842,0.050878369,,0.678209412,1.525712503,0.021856253,0.00000029,0.000000002
226,0,0.017863274,0.056520822,0.05882406,0.049551941,0.050013356,,0.672299097,1.514698158,0.021382812,0.000000263,1.77E-09
227,0,0.017486827,0.055588428,0.057865687,0.048708282,0.049166577,,0.666466042,1.50381143,0.020921231,0.000000239,1.56E-09
228,0,0.01711976,0.054675217,0.056926861,0.047882406,0.048337574,,0.660708903,1.49305029,0.02047117,0.000000217,1.38E-09
229,0,0.016761804,0.053780716,0.056007105,0.047073867,0.047525903,,0.655026367,1.482412746,0.020032304,0.000000197,1.22E-09
230,0,0.016412698,0.052904466,0.055105954,0.04628223,0.046731131,,0.649417147,1.471896849,0.019604315,0.000000178,1.07E-09
231,0,0.01607219,0.052046022,0.054222957,0.045507075,0.04595284,,0.643879983,1.461500687,0.019186896,0.000000162,9.48E-10
232,0,0.015740036,0.051204951,0.053357674,0.044747994,0.045190621,,0.638413646,1.451222388,0.018779751,0.000000147,8.37E-10
233,0,0.015415999,0.050380833,0.05250968,0.044004589,0.044444079,,0.633016928,1.441060117,0.018382592,0.000000133,7.39E-10
