Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
2922,0,0.015442994,0.013393869,0.014807377,0.003999776,0.003625546,,0.135845946,0.227060931,0.000716187,2.20E-18,1.70E-55
2923,0,0.015430287,0.013382639,0.014795133,0.003995789,0.003621862,,0.135770407,0.226946107,0.000715163,2.17E-18,1.62E-55
2924,0,0.015417594,0.013371423,0.014782904,0.003991808,0.003618182,,0.135694936,0.226831381,0.000714142,2.14E-18,1.55E-55
2925,0,0.015404916,0.013360219,0.014770689,0.003987832,0.003614507,,0.135619533,0.226716752,0.000713122,2.11E-18,1.48E-55
2926,0,0.015392254,0.013349029,0.014758488,0.003983862,0.003610838,,0.135544197,0.22660222,0.000712104,2.07E-18,1.41E-55
2927,0,0.015379605,0.013337852,0.014746301,0.003979896,0.003607173,,0.135468929,0.226487785,0.000711088,2.04E-18,1.35E-55
2928,0,0.015366972,0.013326688,0.014734129,0.003975937,0.003603513,,0.135393729,0.226373446,0.000710074,2.01E-18,1.29E-55
2929,0,0.015354353,0.013315537,0.01472197,0.003971982,0.003599858,,0.135318596,0.226259205,0.000709061,1.98E-18,1.23E-55
2930,0,0.015341749,0.013304399,0.014709826,0.003968032,0.003596208,,0.13524353,0.22614506,0.00070805,1.95E-18,1.17E-55
2931,0,0.015329159,0.013293274,0.014697696,0.003964088,0.003592563,,0.135168532,0.226031011,0.000707041,1.92E-18,1.12E-55
2932,0,0.015316584,0.013282163,0.014685581,0.003960149,0.003588923,,0.1350936,0.225917059,0.000706034,1.89E-18,1.07E-55
2933,0,0.015304024,0.013271064,0.014673479,0.003956216,0.003585288,,0.135018736,0.225803204,0.000705028,1.86E-18,1.02E-55
2934,0,0.015291478,0.013259979,0.014661391,0.003952287,0.003581658,,0.134943939,0.225689444,0.000704024,1.84E-18,9.77E-56
2935,0,0.015278947,0.013248906,0.014649318,0.003948364,0.003578032,,0.134869208,0.22557578,0.000703022,1.81E-18,9.33E-56
2936,0,0.01526643,0.013237847,0.014637258,0.003944446,0.003574412,,0.134794545,0.225462213,0.000702021,1.78E-18,8.91E-56
2937,0,0.015253927,0.0132268,0.014625212,0.003940533,0.003570796,,0.134719948,0.225348741,0.000701023,1.75E-18,8.51E-56
2938,0,0.01524144,0.013215767,0.014613181,0.003936626,0.003567185,,0.134645418,0.225235365,0.000700026,1.73E-18,8.12E-56
2939,0,0.015228966,0.013204746,0.014601163,0.003932724,0.00356358,,0.134570954,0.225122084,0.00069903,1.70E-18,7.76E-56
2940,0,0.015216507,0.013193739,0.01458916,0.003928826,0.003559979,,0.134496557,0.225008899,0.000698036,1.68E-18,7.41E-56
2941,0,0.015204063,0.013182744,0.01457717,0.003924934,0.003556383,,0.134422226,0.22489581,0.000697045,1.65E-18,7.08E-56
2942,0,0.015191633,0.013171762,0.014565194,0.003921048,0.003552791,,0.134347962,0.224782815,0.000696054,1.63E-18,6.76E-56
2943,0,0.015179217,0.013160793,0.014553232,0.003917166,0.003549205,,0.134273764,0.224669916,0.000695066,1.60E-18,6.46E-56
2944,0,0.015166816,0.013149837,0.014541284,0.00391329,0.003545623,,0.134199632,0.224557112,0.000694079,1.58E-18,6.17E-56
2945,0,0.015154428,0.013138894,0.01452935,0.003909418,0.003542046,,0.134125566,0.224444403,0.000693094,1.55E-18,5.89E-56
2946,0,0.015142056,0.013127964,0.014517429,0.003905552,0.003538474,,0.134051566,0.224331788,0.00069211,1.53E-18,5.62E-56
2947,0,0.015129697,0.013117046,0.014505523,0.003901691,0.003534907,,0.133977632,0.224219268,0.000691129,1.51E-18,5.37E-56
2948,0,0.015117353,0.013106141,0.01449363,0.003897835,0.003531345,,0.133903764,0.224106843,0.000690148,1.48E-18,5.13E-56
2949,0,0.015105023,0.013095249,0.014481751,0.003893984,0.003527787,,0.133829961,0.223994513,0.00068917,1.46E-18,4.90E-56
2950,0,0.015092707,0.013084369,0.014469886,0.003890138,0.003524234,,0.133756225,0.223882276,0.000688193,1.44E-18,4.68E-56
2951,0,0.015080405,0.013073503,0.014458034,0.003886298,0.003520686,,0.133682554,0.223770134,0.000687218,1.42E-18,4.47E-56
2952,0,0.015068118,0.013062649,0.014446196,0.003882462,0.003517143,,0.133608948,0.223658086,0.000686245,1.40E-18,4.27E-56
2953,0,0.015055845,0.013051807,0.014434372,0.003878632,0.003513604,,0.133535408,0.223546132,0.000685273,1.38E-18,4.08E-56
2954,0,0.015043585,0.013040979,0.014422562,0.003874806,0.003510071,,0.133461933,0.223434272,0.000684303,1.35E-18,3.89E-56
2955,0,0.01503134,0.013030163,0.014410765,0.003870986,0.003506542,,0.133388524,0.223322506,0.000683335,1.33E-18,3.72E-56
2956,0,0.015019109,0.013019359,0.014398982,0.00386717,0.003503017,,0.133315179,0.223210833,0.000682368,1.31E-18,3.55E-56
2957,0,0.015006893,0.013008568,0.014387212,0.00386336,0.003499498,,0.1332419,0.223099254,0.000681403,1.29E-18,3.39E-56
2958,0,0.01499469,0.01299779,0.014375456,0.003859555,0.003495983,,0.133168686,0.222987769,0.000680439,1.28E-18,3.24E-56
2959,0,0.014982501,0.012987024,0.014363713,0.003855755,0.003492472,,0.133095537,0.222876377,0.000679477,1.26E-18,3.09E-56
